20 Mar,35.4,24.3,26.2,22.5,47.6,8,4.9,1069,1014.9,1010
22 Mar,35.3,24.1,25.8,23.2,0,7.6,4,1060,1014.6,1010
24 Mar,34.5,26.4,26.3,23.2,0,12.5,4,998,1013.1,1010
25 Mar,33.6,25.3,26.5,23.5,21.4,7.6,3.6,1025,1013.9,1010
25 Mar,33.8,25.3,26.5,23.5,21.4,10.3,4.9,1113,1015,1010
25 Mar,34.8,25.3,26.5,21.6,21.4,10.3,4.9,1113,1015.8,1010
28 Mar,33.6,24.2,26.2,21.4,0.6,9.4,4.5,993,1015.4,1010
29 Mar,34,24.3,26.1,22.4,0,5.8,3.1,944,1013.7,1010
30 Mar,33.1,24.1,26.4,21.9,0,8.9,5.4,896,1015.5,1010
31 Mar,32.6,26.1,26.3,24.4,0,5.4,2.7,900,1015.5,1010
31 Mar,32.6,24.5,26.5,23.2,19.2,8,4.5,1025,1015.9,1010
3 Apr,32.2,22.8,25.6,21.8,18.4,8.5,4,654,1016.2,1010
4 Apr,34.8,24.3,26.3,22.3,0,7.6,3.1,1146,1014.9,1010
5 Apr,34.3,25,26,22.8,0.6,12.5,5.8,1141,1015.1,1010
6 Apr,33.6,25,24.7,21.9,0,7.6,4.5,1088,1015.2,1010
7 Apr,34.9,24.7,25.6,22.3,0,6.7,3.6,1074,1014.5,1010
8 Apr,34.2,25.9,25.7,23.6,0,8.9,4.9,969,1013.6,1010
10 Apr,34,25.9,27,24.2,1.8,6.7,4,870,1013.1,1010
11 Apr,34,25.7,27,24.2,1.8,6.7,4,870,1013.1,1010
13 Apr,34,25.8,26.1,23.4,0,7.6,3.6,993,1013.8,1010
14 Apr,33,26.2,27.1,23.6,0,7.2,4.5,1030,1014.3,1010
15 Apr,35,25.2,26.3,23.5,0,6.7,3.6,986,1013.5,1010
16 Apr,35.1,26.9,26.9,22,0,6.3,3.1,1021,1013.9,1010
16 Apr,35.1,26.4,26.9,22,0,8,4,1056,1014.1,1010
18 Apr,33.2,26.6,27.1,23.9,6,7.2,3.6,900,1013.3,1010
19 Apr,35.7,26.1,26.9,23,2.4,7.6,4.5,1055,1012.6,1010
20 Apr,32,26.1,27.8,24.2,3.4,7.6,4,867,1011.9,1010
21 Apr,33.9,25.9,27.1,25.2,0,6.3,3.1,1018,1011.1,1010
22 Apr,33.5,26.8,27.4,24.3,0,7.6,3.1,983,1010,1010
23 Apr,33.8,25.3,27,24.2,15.8,7.2,4,909,1012,1010
24 Apr,32.5,25.6,27.2,25,0.2,4,2.2,828,1013,1010
25 Apr,33.4,25.4,28.1,24,34.8,7.2,3.1,812,1011.2,1010
26 Apr,29.3,24,27,23.4,62.4,10.7,4.5,301,1012.4,1010
27 Apr,31.3,24.9,26.2,23.5,6.8,5.8,2.7,1136,1013.5,1010
28 Apr,33.9,25.2,26.6,22.7,0,6.3,4,844,1014,1010
29 Apr,34.2,26.2,27.7,23.9,0.4,6.7,4,1076,1013.1,1010
30 Apr,33.4,25.4,27.4,23.3,0,4.9,2.7,867,1013.3,1010
30 Apr,33.4,25.4,27.4,23.3,0,5.8,3.1,875,1013.3,1010
2 May,33.7,26.9,27.6,25.3,0,5.4,2.7,1097,1013.9,1010
3 May,33.2,26.5,27.6,23,0,6.3,2.7,916,1014.3,1010
4 May,31.6,25.6,27.6,23.9,12.6,7.6,3.6,601,1014.6,1010
6 May,34.2,26.7,26.5,22.9,0,9.8,5.4,1041,1014.1,1010
7 May,34.4,26.6,27.9,23.9,10,8,3.6,991,1012.3,1010
8 May,30.2,23.4,26.8,22.5,61,13,7.6,780,1014.6,1010
9 May,33.8,25.7,27.1,24.6,0,7.6,3.6,1055,1012.6,1010
10 May,33.6,23.2,27.6,22.2,30.2,13.9,5.8,1025,1013,1010
11 May,31.7,26.4,27.6,24.6,2.6,5.8,2.7,701,1014.5,1010
12 May,34.2,26.3,27.4,25.4,0,7.6,3.1,963,1013.9,1010
12 May,34.2,26.3,27.4,24.9,15.6,7.6,3.6,1011,1013.9,1010
14 May,34.2,25.8,27.6,23.6,1.2,10.7,4,879,1013.1,1010
15 May,32.7,26,28,25.3,1,5.8,2.7,868,1014.2,1010
15 May,32.7,25.1,28,24,1,8.5,4.5,986,1014.8,1010
17 May,31.2,24.6,26.5,23.7,2,5.4,2.7,962,1015,1010
18 May,32.8,25.5,27.6,24.3,0.4,5.8,2.7,1155,1013.7,1010
20 May,32.5,25.4,27.2,24.3,0,8,3.1,909,1014.5,1010
21 May,32.7,25.9,27.2,24.5,0,8,4,1100,1013.7,1010
22 May,32.6,25.7,26.8,24.1,0,6.3,3.1,914,1014,1010
23 May,33.2,25.9,27,23.8,0,6.3,2.7,1002,1014.5,1010
24 May,35.3,26.4,27,22.3,0,6.3,2.7,976,1013.7,1010
25 May,33.4,26.5,27.3,23.5,0,7.6,3.6,1107,1012.9,1010
26 May,34.7,26.1,27.1,24.5,0,6.7,3.1,1035,1012.1,1010
27 May,33.5,26.5,26.8,25,0,9.4,4.7,1021.8,1011.9,1010
28 May,33.5,28.1,26.6,24.6,0,10.7,4.1,1174.2,1011.4,1010
29 May,33.6,26.8,27,25,0,5.8,2.5,990.3,1012,1010
30 May,32.3,25.4,26.9,24.5,9.2,6.7,3.4,853.4,1012,1010
31 May,33.1,25.1,26.8,24.2,1.6,6.3,2.7,1097,1011.3,1010
1 Jun,32,25.7,26.8,23.9,0,6.7,2.7,829.4,1011.7,1010
2 Jun,34.4,23.7,26.4,22.5,41.2,8.9,4,899.3,1012.6,1010
3 Jun,31.1,25.3,26.5,24.2,12.2,7.2,3.6,328.8,1012.9,1010
4 Jun,30.7,25.3,27,24.8,8.2,5.4,2.5,259.8,1011.9,1010
5 Jun,33,25.9,27.3,25,0,6.3,2.7,1009.2,1011.4,1010
6 Jun,28.6,25.6,26.4,24.3,5.4,7.2,3.1,201.8,1013.9,1010
7 Jun,27.4,24.7,25.8,23.9,6.2,6.7,3.1,271.7,1014.6,1010
8 Jun,30.3,24.8,26.4,24.2,0,4.9,1.8,592.3,1013.9,1010
9 Jun,32.6,25.4,27.5,24.5,0.8,6.3,2.7,1083.5,1013.4,1010
10 Jun,33.1,26.7,27.9,25.6,5,6.7,3.1,1001.2,1012.4,1010
11 Jun,33.7,25.9,27,24.4,25.6,7.6,3.7,977,1013.9,1010
12 Jun,30,24.2,26.3,23.7,33.6,8.5,3.6,1042,1014.1,1010
13 Jun,31.3,26.7,27.1,25.1,5,5.8,2.7,436.2,1013.9,1010
14 Jun,33.4,26.2,27.5,24.9,0.6,6.3,2.7,1031,1013.9,1010
15 Jun,32.5,26.5,27.3,24.6,0,8.5,3.8,1041,1014.2,1010
16 Jun,32.7,26.4,26.9,24.8,0,6.3,2.7,948.8,1013.4,1010
17 Jun,32.3,27.4,26.8,24.4,0,5.4,2.8,961,1013.3,1010
18 Jun,29.3,25.9,26.1,24.4,4,4.5,2.2,434.5,1014.4,1010
19 Jun,29.6,25.5,26.5,23.9,12.4,5.4,3.3,307.5,1013.1,1010
20 Jun,31.9,26.3,27.1,25.1,1,5.4,2.2,886.7,1012.7,1010
21 Jun,33,26,26.7,24.7,0,5.4,2.7,904.1,1012,1010
22 Jun,31.1,23.5,26.7,22.5,13.8,11.6,4.7,943.3,1011.8,1010
23 Jun,32.6,24.6,26.6,22.3,0,7.6,2.7,1116,1011.4,1011.1
24 Jun,32.9,26.9,27,24.5,0.2,5.8,2.1,1011,1013,1011.4
25 Jun,33.5,27.7,26,24.3,0,6.7,2.5,960.3,1013.7,1013
26 Jun,31.3,26.1,26.6,23.9,2.4,8.9,4.4,814,1014.8,1013.6
27 Jun,33,25.6,26.4,24.5,0,5.4,2.2,889,1013.6,1013.1
28 Jun,32.8,27.7,26.5,24.4,0,6.3,2.2,800,1013.1,1012.4
29 Jun,32.7,25.2,27.3,23.1,18.2,9.4,3.9,1110.8,1012.4,1012.2
30 Jun,32,26.9,26.7,24.4,0.2,5.8,2.6,926.3,1012.9,1012.2
1 Jul,32.6,27.6,26.2,22.7,0,6.7,2.6,1014.2,1014.2,1012.8
2 Jul,33.3,27.8,26.8,24.7,0,5.8,2.7,1014.2,1013,1012.6
3 Jul,32.1,24.2,26.5,22.3,8.4,9.4,4.7,1014.2,1013.8,1012.3
4 Jul,33.2,27.1,26.5,24.4,8.4,5.8,2.7,1014.2,1014.3,1013.8
5 Jul,33.5,27.5,26.4,23.8,8.4,7.2,3.1,1014.2,1014.3,1012.8
8 Jul,27.4,26.9,25.6,24.7,0,1.3,0.8,1014.2,1014.6,1013.5
9 Jul,30.9,23.9,26.9,23,5,2.7,1,1014.2,1015.7,1010.9
11 Jul,33.8,27.5,25.2,22.8,0,2.7,1.9,1014.2,1015.4,1011.8
12 Jul,33.2,26.9,25.7,23.6,0,3.1,1.4,1014.2,1015.2,1011.6
13 Jul,33.4,26.7,26.3,23.7,0,3.1,1.5,1014.2,1014.5,1010.1
14 Jul,33.2,27.8,26.2,24.1,0,2.7,1.6,1014.2,1013.8,1008.7
15 Jul,28.9,23.5,25.3,22.4,19.2,5.4,1.2,1014.2,1014,1010.1
16 Jul,31.3,26.1,26.2,22.7,3.8,3.1,1.3,1014.2,1012.6,1008.9
17 Jul,31.9,26.1,25.9,21.8,0,3.1,1.5,1014.2,1012,1007.7
18 Jul,32.7,27.2,25.2,21.9,0,3.1,1.9,1014.2,1011,1007.2
19 Jul,32.8,27.1,25.2,21.6,0,3.1,1.6,1014.2,1011.2,1008.3
20 Jul,33,27.3,25.8,22.9,0,2.7,1.3,1014.2,1011.9,1008.2
21 Jul,33,25.9,26.6,23.3,0,2.7,0.8,1014.2,1011.9,1009.5
22 Jul,32.6,25.9,26.2,22.7,0,4,0.9,1014.2,1012.9,1009.2
